question,answer,category,keywords,official_link
"How to update Aadhaar mobile, email, and address simultaneously?","Bring Aadhaar card, valid ID, and address proof to the enrolment center. Officials will verify and update mobile, email, and address together.",update,"mobile, email, address, update, documents",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I want to update Aadhaar photo for a child after facial injury. What documents are needed?,Bring Aadhaar card and valid ID to the enrolment center. Officials will capture a new photograph and update the record.,update,"photo, child, injury, update, documents",
What documents are required to update Aadhaar surname after legal name change?,"Bring Aadhaar card, legal name change document, and valid ID to the enrolment center. Officials will verify and update surname accordingly.",correction,"surname, legal, update, documents",
How do I correct DOB and gender for twins in Aadhaar?,"Bring Aadhaar cards, birth certificates, and proof of relationship to the enrolment center. Officials will verify and update DOB and gender for both children.",correction,"DOB, gender, twins, correction, documents",
I want to update my Aadhaar mobile but my old number is no longer active. How do I do it?,Visit the nearest Aadhaar enrolment center with your Aadhaar card and valid ID. Officials will update your mobile offline so you can receive OTPs for Aadhaar services.,mobile_update,"mobile, update, offline, inactive, documents",
What steps should I follow to update my Aadhaar address if I recently moved to another city?,"Take your Aadhaar card and valid address proof (like utility bill, rental agreement, or bank statement) to the enrolment center. Officials will verify and update your address.",address_update,"address, update, relocation, documents",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I update my Aadhaar photo if my appearance has changed?,"Yes, visit the enrolment center with Aadhaar card and valid ID. Officials will capture a new photograph and update your record.",update,"photo, update, appearance, documents",
How do I correct gender details in Aadhaar?,Bring your Aadhaar card and a valid ID to the enrolment center. Officials will verify and update your gender information.,correction,"gender, correction, documents",
I accidentally have two Aadhaar numbers. How can I merge them?,"Visit the enrolment center with both Aadhaar cards and valid IDs. Officials will verify and merge the duplicates, cancelling one of them.",aadhar_issue,"duplicate, merge, cancel, documents",
What documents are required to update my surname in Aadhaar after divorce?,"Bring your Aadhaar card, divorce decree, and a valid ID to the enrolment center. Officials will verify and update your surname.",correction,"surname, divorce, update, documents",
Can I update both mobile number and email in Aadhaar simultaneously?,Visit the enrolment center with Aadhaar card and valid ID. Officials will update both mobile and email offline after verification.,update,"mobile, email, update, offline, documents",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
How can I download e-Aadhaar as a new applicant?,"Visit the e-Aadhaar portal, enter your Aadhaar number or VID, verify using OTP sent to your registered mobile, then download the PDF and print it.",download,"e-Aadhaar, download, OTP, applicant",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
Is it possible to update the Aadhaar address for my entire family at once?,Bring Aadhaar cards and valid address proof for all family members to the enrolment center. Officials will update addresses offline for everyone together.,address_update,"address, family, update, offline, documents",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
What documents are needed to enroll a newborn for Aadhaar?,"Bring the newborn’s birth certificate, parents’ Aadhaar cards, proof of relationship, and address proof to the enrolment center. Officials will process the enrolment.",enrolment,"newborn, enrolment, documents",https://bhuvan-app3.nrsc.gov.in/aadhaar/
How can NRIs update Aadhaar address from abroad?,"Provide your Aadhaar card, passport, and overseas address proof at the nearest Indian embassy or consulate. Officials will update your address accordingly.",address_update,"NRI, abroad, address, update, documents",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I lost my Aadhaar card. How do I get a duplicate?,"You can download e-Aadhaar online using your Aadhaar number or VID. Alternatively, visit the enrolment center with a valid ID to get a physical duplicate.",download,"lost, duplicate, e-Aadhaar, documents",
How can senior citizens update Aadhaar mobile without OTP?,Bring Aadhaar card and valid ID to the enrolment center. Officials will update mobile offline without requiring OTP.,mobile_update,"mobile, senior, update, offline, documents",
How to update DOB for twins in Aadhaar?,"Bring both Aadhaar cards, birth certificates, and proof of relationship to the enrolment center. Officials will verify and update DOB for both children.",correction,"DOB, twins, correction, documents",
Can mobile and email be updated together for multiple family members?,Bring Aadhaar cards and valid IDs for all family members to the enrolment center. Officials will update both mobile and email offline together.,update,"mobile, email, family, update, offline, documents",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
"I want to correct name, DOB, and address after moving states. How?","Bring Aadhaar card, valid ID, and address proof to the enrolment center. Officials will verify and update name, DOB, and address together.",correction,"name, DOB, address, update, relocation, documents",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How to update Aadhaar mobile if both old mobile and email are inactive?,Visit an enrolment center with Aadhaar card and valid ID. Officials will update mobile offline so you can receive OTPs for services.,mobile_update,"mobile, update, inactive, offline, documents",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
How to update surname for minors after adoption?,"Bring Aadhaar card, adoption certificate, and parents’ IDs to the enrolment center. Officials will verify and update the surname accordingly.",correction,"surname, minor, adoption, update, documents",
How do I download e-Aadhaar for multiple family members?,"Visit the e-Aadhaar portal, enter Aadhaar numbers or VIDs, verify with OTPs, and download PDFs for all members. Print as needed.",download,"e-Aadhaar, download, family, OTP",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
How do I correct gender details for a minor in Aadhaar?,"Bring Aadhaar card, birth certificate, and parents’ valid IDs to the enrolment center. Officials will verify and update the gender.",correction,"gender, minor, correction, documents",
"How to update mobile, email, and address simultaneously?","Bring Aadhaar card, valid ID, and address proof to the enrolment center. Officials will verify and update mobile, email, and address together.",update,"mobile, email, address, update, documents",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Documents needed to update surname after legal name change?,"Bring Aadhaar card, legal name change document, and valid ID to the enrolment center. Officials will verify and update surname accordingly.",correction,"surname, legal, update, documents",
What documents are required to link Aadhaar with PAN?,"Ensure your mobile number is updated with Aadhaar. Visit the Income Tax e-filing portal, enter PAN and Aadhaar, and verify using OTP. Keep Aadhaar card ready for reference.",pan_linking,"link, PAN, Aadhaar, documents",
How do I check if my Aadhaar is already linked with my mobile number?,Visit the UIDAI SSUP portal and enter your Aadhaar number. You will receive OTP on your registered mobile confirming the linkage.,mobile_update,"mobile, check, Aadhaar, OTP",
